Cx,Grf,Adv,Cont,Nop
有钱,YES,NO,NO,Deg
有钱,NO,NO,YES,Deg
有意思,YES,NO,YES,Deg
有钱,YES,NO,YES,Deg
有钱,YES,NO,NO,Deg
有钱,NO,NO,YES,Deg
有钱,NO,NO,YES,Deg
有血气,NO,NO,YES,Non-deg
有钱,NO,NO,YES,Deg
有眼,YES,NO,YES,Non-deg
有钱,YES,NO,YES,Deg
有钱,YES,NO,NO,Deg
有钱,NO,NO,YES,Deg
有眼,NO,NO,NO,Non-deg
有精神,YES,YES,YES,Deg
有颜色,YES,YES,YES,Deg
有些意思,NO,YES,YES,Deg
有眼,NO,NO,YES,Non-deg
有些颜色,YES,NO,YES,Deg
有眼,NO,NO,NO,Non-deg
有味,YES,NO,YES,Deg
有眼,NO,NO,NO,Non-deg
有眼,NO,NO,YES,Non-deg
有眼,NO,NO,YES,Non-deg
有钱,NO,NO,YES,Deg
有钱,YES,NO,NO,Deg
有味,YES,NO,YES,Deg
有眼,NO,NO,YES,Non-deg
有眼,NO,NO,NO,Non-deg
有眼,NO,NO,YES,Non-deg
有眼,NO,NO,YES,Non-deg
有钱,YES,NO,YES,Deg
有钱,YES,NO,NO,Deg
有钱,YES,NO,NO,Deg
有眼,NO,NO,YES,Non-deg
有钱,YES,NO,YES,Deg
有钱,YES,NO,NO,Deg
有颜色,YES,NO,YES,Deg
有言,YES,NO,NO,Deg
有东西,YES,NO,NO,Deg
有些颜色,YES,NO,YES,Deg
有钱,YES,NO,YES,Deg
有精神,NO,YES,YES,Deg
有味,YES,NO,YES,Deg
有味,NO,NO,YES,Deg
有精神,NO,NO,YES,Deg
有味,NO,NO,YES,Deg
有些意思,YES,NO,YES,Deg
有眼,NO,NO,NO,Non-deg
有气,NO,YES,YES,Non-deg
有眼,NO,NO,NO,Non-deg
有钱,NO,NO,YES,Deg
有钱,NO,NO,YES,Deg
有钱,YES,NO,YES,Deg
有鼻儿,NO,NO,YES,Non-deg
有眼儿,NO,NO,YES,Non-deg
有钱,YES,NO,YES,Deg
