examples,stage,Grf,DAdv,Context,Degree,abstract,compositionality,,,,,,,,,,,,,,,
断金、如兰，言物莫能间，而其言 [有] 味也,1,0,0,1,2,1,1,,,,,,,,,,,,,,,
妇 [有] 长舌，维厉之阶,1,0,0,1,1,2,2,,,,,,,,,,,,,,,
吕甥出告大夫曰：“君死自立则不敢，久则恐诸侯之谋，径召君于外也，则民各 [有] 心，恐厚乱，盍请君于秦乎？”,1,0,0,1,1,2,2,,,,,,,,,,,,,,,
凡生天地之间者， [有] 血气之属，必 有知， 有知之属，莫不知爱 其类,1,1,0,0,1,1,1,,,,,,,,,,,,,,,
故 [有] 血气之属者，莫知于人，故人于其亲也，至死不穷。,1,1,0,0,1,1,1,,,,,,,,,,,,,,,
乃通於天，水木石之性，皆可动也，又况於 [有] 血气者乎？,1,1,0,0,1,1,1,,,,,,,,,,,,,,,
凡顺之则喜，逆之则怒，此 [有] 血气者之性也。,1,1,0,0,1,1,1,,,,,,,,,,,,,,,
子曰：言 [有] 物 而行有格也，是以生则不可夺志，死则不可夺名。,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
故天下有道，则行 [有] 枝叶；,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
天下无道则辞 [有] 枝叶。,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
夫民 [有] 血气 心知之性，而无哀乐喜怒之常，应感起物而动，然后心术形焉。,1,0,0,0,1,1,1,,,,,,,,,,,,,,,
且晋公子敏而 [有] 文，约而不谄，三材侍之，天祚之矣。,1,0,0,1,2,1,2,,,,,,,,,,,,,,,
廉之谓公正，让之谓保德，凡 [有] 血气者，皆有争心，怨利生孽，维义可以为长存。,1,1,0,1,1,1,1,,,,,,,,,,,,,,,
君臣上下各餍其私，以纵其回，民各 [有] 心而无所据依。,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
天之所覆，地之所载，日月所照，霜露所队；凡 [有] 血气者，莫不,1,1,0,0,1,1,1,,,,,,,,,,,,,,,
臣之行也，固知必将 [有] 口，故献御书而行,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
言之 [有] 头足，故人信其说；明事以验证，故人然其文。,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
受好礼恭谨，敏而 [有] 辞,1,1,0,1,2,1,2,,,,,,,,,,,,,,,
天地之精神，若人之 [有] 精神矣,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
若杜陵园，其已御见者，臣子不敢 [有] 言，虽然，太皇太后之事也,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
人之 [有] 文也，犹禽之有毛也,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
苟 [有] 文无实，是则五色之禽，毛妄生也,1,0,0,1,2,1,2,,,,,,,,,,,,,,,
春秋以子干已为王，故曰“比杀君”：彼此各 [有] 意义也,1,0,0,0,2,1,1,,,,,,,,,,,,,,,
司马寅请姑视之，反曰：‘肉食者无墨，今吴王 [有] 墨，国其胜乎,1,0,0,1,1,2,2,,,,,,,,,,,,,,,
杜大夫及石氏使人谢，谓田少卿曰：“吾非敢 [有] 语言也，原少卿无相诬汙也,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
孝惠帝时，吕太后用事，欲王诸吕，畏大臣 [有] 口者，陆生自度不能争之，乃病免家居,1,1,0,0,1,2,2,,,,,,,,,,,,,,,
政刑弛紊，贿货公行，莫敢 [有] 言，道路以目。,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
然则先家拱默，不得 [有] 言，原情论之，能无怨叹乎？,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
弁屡自陈让，帝曰：“吾为相知者，卿亦不可 [有] 辞。,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
庆孙任侠 [有] 气，乡曲壮士及好事者多相依附，抚养咸有恩纪。,1,0,0,1,1,1,1,,,,,,,,,,,,,,,
幼聪达， [有] 计数。,1,1,0,1,2,1,2,,,,,,,,,,,,,,,
自汉、魏以来，抚绥遐荒，颇 [有] 故事。,1,0,1,1,2,1,2,,,,,,,,,,,,,,,
非卿不可，不得 [有] 辞。,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
夫人之所欲，莫不 [有] 辞，况乃天王，莫之敢违。,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
吾书虽小小 [有] 意，笔势不快，余竟不成就，每愧此名。,1,0,0,1,2,1,1,,,,,,,,,,,,,,,
父饶，司空诞取为府史，恆使入山图画道路，勤剧备至，不敢 [有] 辞，不复听归，消息断绝。,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
汉铸钟工柴玉巧 [有] 意思，形器之中，多所造作，亦为时贵人见知。,1,0,1,1,2,1,2,,,,,,,,,,,,,,,
黄初中，铸工柴玉巧 [有] 意思，形器之中，多所造作。,1,0,1,1,2,1,2,,,,,,,,,,,,,,,
子产 [有] 辞，诸侯所赖，不可已也。,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
苟 [有] 胸而无心，不能节之以礼，苟，犹诚也。,1,0,0,0,1,2,1,,,,,,,,,,,,,,,
讥幼聪俊， [有] 思理，年十四，通《孝经》、《论语》,1,1,0,1,2,1,2,,,,,,,,,,,,,,,
转觉淡交言 [有] 味，此声知是古人心。,1,0,0,1,2,1,2,,,,,,,,,,,,,,,
圣朝公道如长在，贱子谋身自 [有] 门。,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
鄙吝不识分， [有] 心占阳春。,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
一觉晓眠殊 [有] 味，无因寄与早朝人。,1,0,1,0,2,1,2,,,,,,,,,,,,,,,
他人 [有] 心，又请论其梗概。,1,0,0,0,1,2,2,,,,,,,,,,,,,,,
然谈剧 [有] 味,1,1,0,0,2,1,2,,,,,,,,,,,,,,,
子苍云：“蛙不圣所以言圣，便觉 [有] 味；灯花本灵，能知事，辄言圣得知，殊少意味,1,0,0,1,2,1,2,,,,,,,,,,,,,,,
少警敏滑稽、谈剧 [有] 味,1,1,0,0,2,1,2,,,,,,,,,,,,,,,
而诗尤可爱，咀嚼 [有] 味，杂以江左唐人之风,1,1,0,0,2,1,2,,,,,,,,,,,,,,,
此诗 [有] 味君勿传，空使时人怒生瘿,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
近日方得雨，日夜垦辟，欲种麦，虽劳苦却亦 [有] 味,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
何如此一啜， [有] 味出吾囿,1,1,0,0,2,1,2,,,,,,,,,,,,,,,
此公以其尝试者告人，故尤 [有] 味,1,0,1,0,2,1,2,,,,,,,,,,,,,,,
明年更 [有] 味，怀抱带诸孙,1,0,1,0,2,1,2,,,,,,,,,,,,,,,
赋诗殊 [有] 味，涉世非所工,1,0,1,0,2,1,2,,,,,,,,,,,,,,,
试与叩柴荆，言辞应 [有] 味,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
欲识味中犹 [有] 味,1,0,1,0,2,1,2,,,,,,,,,,,,,,,
少陵真 [有] 味，爱酒觅南邻,1,0,1,0,2,1,2,,,,,,,,,,,,,,,
相传煎茶只煎水，茶性仍存偏 [有] 味,1,0,1,0,2,1,2,,,,,,,,,,,,,,,
秦筝算 [有] 心情在，试写离声入旧弦,1,1,0,1,2,1,2,,,,,,,,,,,,,,,
钟鼎无心时节异，山林 [有] 味箪瓢足,1,0,0,1,2,1,2,,,,,,,,,,,,,,,
愈觉田园 [有] 味,1,1,0,0,2,1,2,,,,,,,,,,,,,,,
是无能、爱闲爱静，清时 [有] 味,1,0,0,0,2,1,2,,,,,,,,,,,,,,,
更觉春江 [有] 味,1,1,0,0,2,1,2,,,,,,,,,,,,,,,
胸中广博，极有口才，也是一个 [有] 意思的人,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
法轮自恃 [有] 钱，不怕官府，挺身同了公人竟到提点衙门来,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
固然尼姑生得大 [有] 颜色，亦是客边人易得动火,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
他与莫大姐是姑舅之亲，一向往来，两下多 [有] 些意思，只是不曾得便，未上得手,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
看见人家 [有] 些颜色的妇人，便思勾搭上场，不上手不休,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
有许多话头做作，哄动这些血气未定的少年，其实有枝有叶，有滋 [有] 味,2,1,0,1,1,1,2,,,,,,,,,,,,,,,
两个谈话 [有] 味，不觉夜已二鼓,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
三官与玉姐说∶“不如我去罢，再接 [有] 钱的客官，省你受气,2,1,0,1,2,1,1,,,,,,,,,,,,,,,
第二便是应伯爵，第三谢希大，第四让花子虚 [有] 钱做了四哥。,2,1,0,1,2,1,1,,,,,,,,,,,,,,,
其时有无名子感概时事，将《神童诗》改成四句云∶少小休勤学，钱财可立身，君看严宰相，必用 [有] 钱人,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
