example,stage,Grf,Dadv,context,degree,abstract,compositionality
并从附近生产队请了两名有经验的妇女来照看孩子,4,1,0,0,2,1,2
"当年看《三国演义》，""张飞大打督邮那一回书，我看了特别有滋味，而尤其有意思的是张角他们的造反",4,1,1,1,2,1,2
"当年看《三国演义》，""张飞大打督邮那一回书，我看了特别有滋味，而尤其有意思的是张角他们的造反",4,1,1,1,2,1,2
我说也真怪，你有钱有势的，想弄个黄花闺女还不能弄到手,4,0,0,1,2,1,2
一些有钱的人，便都争着挂外国旗,4,1,0,0,2,1,2
刘旅先头部队四时返城，隔河相望，甚有意思,4,0,1,0,2,1,2
他面貌清癯，但目光炯炯，很有精神,4,0,1,0,2,1,2
古多尔看到了一个挺有意思的场面，从这里她发现了费冈的出色的智慧和机灵,4,1,1,1,2,1,2
问得很有意思,4,1,1,0,2,1,2
如果这在野外，就是一件很有意义的活动了--它可以从白蚊洞里钓出成串的白蚁来吃,4,1,1,0,2,1,2
我们搞这项工作的是比较有经验,4,0,1,1,2,1,2
搞了公共食堂，家庭用水也不方便，群众对公共食堂有意见,4,0,0,0,2,1,1
我们在读杨沫的《青春之歌》时，被林道静这个有血有肉的艺术形象所吸引,4,1,0,1,1,2,2
我们在读杨沫的《青春之歌》时，被林道静这个有血有肉的艺术形象所吸引,4,1,0,1,1,2,2
研究不同条件下生产集中过程的形式，是很有意义的,4,1,1,0,2,1,2
只有把活生生的人的精神面貌表现出来，才能创造出有血有肉饱含感情的艺术形象，而具有悠久的生命力,4,1,0,0,1,2,2
只有把活生生的人的精神面貌表现出来，才能创造出有血有肉饱含感情的艺术形象，而具有悠久的生命力,4,1,0,0,1,2,2
密切配合着舞蹈的表演，把人物的情绪烘托得有声有色,4,1,0,0,1,1,2
密切配合着舞蹈的表演，把人物的情绪烘托得有声有色,4,1,0,0,1,1,2
有点象我，又有点象你，嘿嘿，有意思,4,0,0,0,2,1,2
亲骨肉在这里会面，倒挺有意思的啊,4,0,1,1,2,1,2
"康瑛：""是很有意思，局外人是无法享受的",4,1,1,1,2,1,2
"何昆幸灾乐祸地：""挺有意思！",4,0,1,1,2,1,2
区分语言和言语，对于研究作家和作品的风格，提高运用语言的技巧，也是有意义的,4,1,0,0,2,1,2
各地语音有差别，应该选一个最有影响的地点的语音作为标准音,4,1,1,0,2,1,2
他们的有经验的眼光看出来了，魏紫有无限的创造力,4,1,0,0,2,1,2
晚上没事，就放起了《打鱼杀家》和《萧何月下追韩信》之类，这才觉得日子有了点滋味……可如今这老倌已是鸟枪换炮了,4,0,0,0,2,1,1
象他那样出身于有钱有势家庭的人，因为不愿走父亲安排的路,4,1,0,0,2,1,1
指纹是一种很有意思的皮肤花纹,4,1,1,0,2,1,2
因为我比你有经验,4,1,0,1,2,1,2
也许，这是一种很有意义的物质,4,1,1,0,2,1,2
这里可有意思，里面有山、有水、有花、有草，夜里有灯，马路上有汽车，小河里有游艇，树林里有鸟儿唱歌,4,0,1,0,2,1,2
他对篆印文字也很有研究，有关这些，我们只要一读《〈蜕龛印存〉序（代）》就可知道了,4,0,1,0,2,1,2
芭蕾一定要表现人生才有意义，编导一定要着力于反映真实的社会生活,4,0,0,0,2,1,1
比起一些有才又有经验的导演，虽各方面条件都好，却往往纸上谈兵，我是很钦佩祖慧的勇气的,4,1,0,0,2,1,2
表现好了，也是有意义的,4,1,0,0,2,1,2
苏联队把第一天没出场的有经验的老将罗泽比奇换上场,4,1,0,0,2,1,2
越是全力投入工作，爱情生活倒越有意思,4,0,1,0,2,1,2
事业可以加深和巩固夫妻感情，使家庭生活的内容更加充实、丰富，更有意义,4,0,1,0,2,1,2
